"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Ran_rep","Bro_ere","Ran_acr","Bro_hor","Pla_lan","Ach_mil","Ant_syl","Her_sph","Gal_mol","Hol_lan","Hel_pub","Car_hir","Bra_pin"
"Poa_tri",0.0775510634017921,0.0797954424561311,0.072313667418354,0.087238375349732,0.0787243755968122,0.103356500864403,0.0889643857625527,0.0811747796347184,0.105925379110253,0.118319665970238,0.158355331240524,0.110627188530662,0.199463276014406,0.120468636976272,0.18619719534903,0.174838387441145,0.293030425038275,0.33084836288477,0.230972401222252,0.286637037197832,0.327511461554646,0.259719719241357,0.176745749844682,0.234962362076934,0.236230752031739,0.196791382027338
"Poa_pra",0.0760318215922744,0.0773338752176986,0.0716208744795142,0.0852756218938335,0.0768697940909452,0.101132842138214,0.0870933068867415,0.079495216707586,0.105113248873559,0.113675662334212,0.151364292781883,0.109308973989469,0.189783353699087,0.113873687033269,0.18397588633004,0.172783856106068,0.276198598035217,0.321784237156266,0.220786146345453,0.282038881876213,0.326323235431352,0.262306179071069,0.176566777695198,0.229765008958756,0.224169112950193,0.189941608102675
"Alo_pra",0.0678120388115025,0.0708199006300926,0.0649462117620358,0.076921591191938,0.0686406931541959,0.0920968290182736,0.0776400172940909,0.0734305845360413,0.0961176356933607,0.105818413544894,0.138509435908601,0.0946830898363581,0.169123170854902,0.107428572168286,0.156860814931036,0.149367036606452,0.256707805965614,0.279622787014819,0.19981159528604,0.250824483462124,0.278742273045212,0.217784997739981,0.148438972406515,0.216094680153338,0.207683089721633,0.167169496718417
"Dac_glo",0.0607709357328202,0.0616960753048266,0.0540038591033044,0.0677878400448001,0.062283032260431,0.0777554723077579,0.0705868021926554,0.0608351983335331,0.0776027366153368,0.0899217513689686,0.125408783265376,0.0888248372429224,0.16589142159695,0.0905741294605414,0.150777136298108,0.139077950274088,0.235755363842168,0.267586365080152,0.183414150256652,0.21659597688522,0.253489787563018,0.206755141207067,0.142838915036657,0.167546624172649,0.185032345249692,0.157791547817697
"Tri_rep",0.0695371517694622,0.0712859945684179,0.0622462734929851,0.0777867457599208,0.0711004971122551,0.089800696773785,0.0803111682106013,0.0704447769602242,0.0899249423951048,0.104422736072333,0.14418170447088,0.100304492672524,0.188376875053205,0.106694901576952,0.170306560053986,0.158059800967622,0.271788130116731,0.302927840579993,0.210112104262453,0.249212036601602,0.287380003277177,0.232869245900694,0.161161342055647,0.197534219825918,0.214616596126929,0.180215444834887
"Tar_off",0.0617800801500299,0.0636033717008469,0.0571067761639065,0.0694497045389598,0.0628334639123129,0.0819305133460448,0.0709631768431094,0.064245025089575,0.0834149760543972,0.0942497689818311,0.126893169056211,0.0882276900194938,0.161053167176768,0.0963580055130456,0.148848176511773,0.139444952814998,0.236030157383697,0.265044448746581,0.18523042871557,0.227250031116265,0.259663433684554,0.206464188639702,0.141040690505864,0.185143439759894,0.18947687541018,0.157892294381189
"Lol_per",0.065544553951712,0.066954959679775,0.0611552698789509,0.0735841292626786,0.0665221022263199,0.0870306510254237,0.0752761099679489,0.0681671447250946,0.0893327697392925,0.0988172508599541,0.132543801206031,0.0941383730467468,0.167661374476029,0.0998999044656466,0.158798726241319,0.148769999755756,0.243928293792479,0.280464139262396,0.193847491846959,0.242346066124782,0.279754897817129,0.223346308817927,0.151327409275043,0.196236649021614,0.196858218115502,0.166063183677028
"Arr_ela",0.063519263263664,0.0660456044263463,0.0586129763584997,0.0715980095989213,0.064512067825096,0.0846186301350726,0.0727222661412073,0.0666431420985172,0.0862795784138891,0.0984793158330697,0.131820846580331,0.0896225642912368,0.165935508451654,0.101770920224538,0.150971046516927,0.142047321298867,0.247271523996389,0.270002322775454,0.191242801527459,0.23361791330224,0.26202516089476,0.207804931515236,0.142631541450937,0.194498748226573,0.198136119024007,0.162099908643682
"Fes_rub",0.0469509589247854,0.048110077082229,0.0416939892538878,0.0524565696102626,0.0480379300202575,0.0601988337745404,0.0542653330632307,0.0473168576277487,0.0601388010073383,0.0702199354155268,0.0975319310243269,0.0678269825257322,0.128150805301305,0.0716630737418242,0.115317940218038,0.106850455057341,0.184432976904705,0.204855384144459,0.141763933868525,0.167020519091273,0.192822685541455,0.157126687595762,0.109147912372001,0.131843490433616,0.145055813746835,0.121802988288463
"Fes_pra",0.0547194495219841,0.0554348913492399,0.0524067230223419,0.0612299768191773,0.0549716185909324,0.0728563613494017,0.0624540074396065,0.0580975330196493,0.0774727783450852,0.0806806582068508,0.105862144448418,0.0784911402040436,0.130239820894286,0.0794224351840129,0.130473075259731,0.1233575186767,0.191202654701846,0.224201278556202,0.153054883331508,0.201598418344429,0.232510816002548,0.189617717100448,0.126866487214899,0.16836360214428,0.156406429169789,0.132019553719166
"Tri_fla",0.0389536836501878,0.0398944690431557,0.0343142598457358,0.0434633316177026,0.0398737690894887,0.0495683452801828,0.0450499050874551,0.0390567800339866,0.0494250053044084,0.0579946827229213,0.0810381689084673,0.0563539529358593,0.10705596288018,0.0590821442283113,0.0959571154160785,0.0887786182032432,0.153687470742782,0.170155328998132,0.117409525518235,0.137503646387983,0.158946014081152,0.130315156026417,0.0908650176924519,0.108126161646396,0.120404793176265,0.101080126874455
"Ely_rep",0.0460715435891291,0.0464838274214624,0.0410976711674945,0.0513662312101573,0.0472144653454772,0.0590971693853334,0.053604440128176,0.0460239730008573,0.0591109783753383,0.067856621739514,0.0944439323261209,0.0676786267606867,0.124970173551273,0.0678599394771191,0.11482799096503,0.105782282997277,0.176633389563091,0.203481234956537,0.13878380390858,0.165262898395996,0.194575037910317,0.158670154183936,0.108938527110015,0.126586341837415,0.138661947058005,0.119552612067081
"Tri_pra",0.0376560365383071,0.0386198623982778,0.0342872260172713,0.0422190160886447,0.0384216795655757,0.0493130332418376,0.0434063221518137,0.038585722185712,0.0497318654498317,0.05691679188157,0.0776220951092963,0.0541491277386002,0.100109825033465,0.0581518150298029,0.0916954165034361,0.0854302475787776,0.145169391923812,0.163226874165063,0.113505907759927,0.136960808107938,0.157663188926006,0.12646721000935,0.0868260211095044,0.109587785042915,0.115645104741299,0.0970957391940625
"Ran_rep",0.0471261824329164,0.0487102648107211,0.0454809028751852,0.0532828720315547,0.0476216807003278,0.0637949668567737,0.0539874733135651,0.0509545199831238,0.0670873346189948,0.0720809654771074,0.0942954092555133,0.0664660253645344,0.115040624540886,0.0719772161371321,0.109768535243247,0.104407383684319,0.172532902661899,0.193547067375696,0.136241626562095,0.174124745389133,0.196789416539772,0.154606004407214,0.104666434449769,0.148439884505043,0.140302082947259,0.114822067516651
"Bro_ere",0.0317119753324055,0.032087590152547,0.0277579934543385,0.0352848875010578,0.0325553184098843,0.040032728086862,0.0369640901858879,0.0314252871404113,0.0397995596616263,0.0464761427983674,0.0656318075687308,0.0467066767484209,0.0877997658995063,0.0463956152092424,0.0792861272580178,0.0727868047453068,0.123872015342584,0.14048897959275,0.0955902648649998,0.111642341028491,0.131382292538503,0.108193025631106,0.0751137948748889,0.0851688017613497,0.0963033117600934,0.0824180257136469
"Ran_acr",0.0384236731277387,0.0393211027114159,0.0360789679162027,0.043174432994282,0.0389262649600002,0.0512302091955242,0.0440507823086607,0.0402570360986115,0.0528874284817633,0.0580870135262599,0.077488203768347,0.055012231840659,0.0972657019424898,0.0586310312651002,0.092528401495333,0.0869213100270651,0.142271950006513,0.16326229708821,0.113049440413055,0.142409187028382,0.163809341586597,0.130441234972612,0.0882604869494915,0.116467480343209,0.115159679912454,0.0966989876556955
"Bro_hor",0.0237875123261473,0.0247174614008923,0.0221416662600776,0.0268363242067581,0.0241333937525197,0.0318471586977638,0.0272269199323286,0.0251110497523268,0.0326406811983819,0.0368906209701937,0.0491452807162744,0.0335563845352912,0.0614739606280939,0.0379473811970038,0.0563618047324763,0.0531272168642293,0.0917336014858961,0.100737381600649,0.0713118317935125,0.0878648020150904,0.0986513548529166,0.0778988537328995,0.0532904462267809,0.0734491029905285,0.0737749669643732,0.0603536854818597
"Pla_lan",0.0215927919755299,0.0222837197936101,0.0199267638677084,0.0242855788580073,0.0219610213424655,0.028643774646268,0.0247884413035504,0.0224806678889303,0.0291419391603531,0.0330611742836524,0.0444981735479332,0.0307602451953074,0.0564352944149267,0.0339029001555614,0.0518883293931813,0.0486409822870426,0.0829854679943153,0.0925270161825929,0.0648721502539539,0.0793607648881361,0.090314171077631,0.0717743484941639,0.0491181306075887,0.0649137091699318,0.0665544134642576,0.0552291909788392
"Ach_mil",0.0271520187575431,0.0277974352201625,0.0239833866138159,0.0303066454806518,0.0277939790644399,0.0346330862029812,0.031406922807613,0.0272585283328536,0.0345478755163394,0.0404592418514815,0.0564437643568403,0.0392953631076444,0.074470625778268,0.0412093186340517,0.0668640384216571,0.0618713403749109,0.10690547457952,0.118646034649706,0.0819027367653248,0.0960960979492684,0.111140330445431,0.0909286913264137,0.0633048178891,0.0755570998203427,0.0838493490095274,0.0704642745392233
"Ant_syl",0.0198761013364153,0.0201541500460371,0.0171419444252151,0.0220764461535573,0.0204094231570681,0.0247461698569253,0.0231739735503638,0.0195759543136312,0.0245451606816326,0.0289565311657937,0.0413554788648709,0.029286960203859,0.0556976228925287,0.0288477096490863,0.0498368365782432,0.0456846992392477,0.0785176304461151,0.0880255069577462,0.0596325641329499,0.0689143297135299,0.0810359117064263,0.0674600296503272,0.0472375957606417,0.0525144596336754,0.0606481665841008,0.0515571620334696
"Her_sph",0.0183717720757994,0.0190185585183122,0.0162964176498943,0.0205581925814022,0.018732442321487,0.0236562226714195,0.0210825432966307,0.0186706340374076,0.0237258143581443,0.0278827991236,0.038368145533281,0.0261065728814828,0.0498895488892433,0.02889732865613,0.0445164390840687,0.041509306940113,0.073104708133906,0.0790383409668065,0.0553427544280693,0.0654381889807079,0.0740260563419193,0.0604087518395149,0.0421340622908057,0.0530619506042197,0.0575863478193956,0.0475082103235703
"Gal_mol",0.0207554267168069,0.0212555333290211,0.0187751013114513,0.0232442494964237,0.0212022513383617,0.0270244692740827,0.0239595259285183,0.0211469403690154,0.0271644050330492,0.0312436733680807,0.0428450294313065,0.0299299458115943,0.0556088155726677,0.0318819871962376,0.0507375266339497,0.0471678272879799,0.0803171645336373,0.0902838609918317,0.0626426823527292,0.0750736547484286,0.0866618047948356,0.0697961460645291,0.0480352199618104,0.059664543705062,0.0637546732905002,0.0536573600652842
"Hol_lan",0.0238766808887949,0.0247474910436656,0.0217850820736766,0.0268489884007171,0.0243018757447174,0.0314981156211957,0.0273882206945727,0.0247581711206761,0.0318870565319171,0.0367147264205327,0.0496239993739923,0.0338721553249883,0.0632332521294561,0.0379552799729264,0.0572761922550688,0.0536662772968555,0.0933884306972458,0.102302633802834,0.0720972534856293,0.0871245639358106,0.0983787144680982,0.0785823332751274,0.0541249091096547,0.0715125640385265,0.0744813361443742,0.0613700415373714
"Hel_pub",0.0287072919067631,0.0295741818785206,0.0259016742822349,0.0321827756142487,0.0292979721214328,0.0374097384530212,0.0330499840695571,0.029359935085435,0.0376134229115818,0.0435518736977865,0.0595948603220664,0.0411032061310263,0.0770642027146014,0.0447812181217474,0.0697045551889271,0.0649562735060981,0.112288615345572,0.124206988603908,0.0867619405479904,0.103679362215969,0.11848697410906,0.0954250378140221,0.0659215429628665,0.0834111327424586,0.0890705827965391,0.0742032321889096
"Car_hir",0.0212574544131105,0.022021387920583,0.0191303403126197,0.023852354831266,0.0216632137213107,0.0277301439126351,0.0243971682982187,0.0218209818702736,0.0279172999407136,0.0325025684306945,0.0443243858839337,0.0301955818927546,0.0570681660134289,0.033671242627119,0.051257328903477,0.0478962988623323,0.0839460098653985,0.0913685387414463,0.0642357940084299,0.0767108264905389,0.086703982882386,0.0699274097432203,0.0484517343493009,0.0625317217153412,0.0665337055764015,0.0548799498996365
"Bra_pin",0.0180892291913232,0.0188928517762939,0.0162177172257104,0.0203180647543384,0.0183732566635961,0.0236442629286661,0.0206457830195249,0.0186767314250152,0.0239005167591738,0.0280084685946516,0.0378883708739182,0.0253292762419496,0.0483880316077129,0.0293536282098461,0.0431100879881941,0.0404826596097848,0.0723562780871451,0.0767495739584892,0.0544858565665335,0.0652601537944548,0.0723474107928606,0.0586300848417308,0.0407574955995962,0.0544607152506982,0.0572693745144658,0.0464974546058618
