"","Abbreviation","Species"
"1","Poa_tri","Poa trivialis"
"2","Poa_pra","Poa pratensis"
"3","Alo_pra","Alopecurus pratensis"
"4","Dac_glo","Dactylis glomerata"
"5","Tri_rep","Trifolium repens"
"6","Tar_off","Taraxacum officinale"
"7","Lol_per","Lolium perenne"
"8","Arr_ela","Arrhenatherum elatius"
"9","Fes_rub","Festuca rubra"
"10","Fes_pra","Festuca pratensis"
"11","Tri_fla","Trisetum flavescens"
"12","Ely_rep","Elymus repens"
"13","Tri_pra","Trifolium pratense"
"14","Ran_rep","Ranunculus repens"
"15","Bro_ere","Bromus erectus"
"16","Ran_acr","Ranunculus acris"
"17","Bro_hor","Bromus hordeaceus"
"18","Pla_lan","Plantago lanceolata"
"19","Ach_mil","Achillea millefolium"
"20","Ant_syl","Anthriscus sylvestris"
"21","Her_sph","Heracleum sphondylium"
"22","Gal_mol","Galium mollugo"
"23","Hol_lan","Holcus lanatus"
"24","Hel_pub","Helictotrichon pubescens"
"25","Car_hir","Carex hirta"
"26","Bra_pin","Brachypodium pinnatum"
"27","Pha_aru","Phalaris arundinacea"
"28","Ant_odo","Anthoxanthum odoratum"
"29","Ver_cha","Veronica chamaedrys"
"30","Fes_ovi","Festuca ovina"
"31","Rum_ace","Rumex acetosa"
"32","Des_ces","Deschampsia cespitosa"
"33","Phl_pra","Phleum pratense"
"34","Agr_sto","Agrostis stolonifera"
"35","Cyn_cri","Cynosurus cristatus"
"36","Cir_ole","Cirsium oleraceum"
"37","Cre_bie","Crepis biennis"
"38","Cer_hol","Cerastium holosteoides"
"39","Pla_med","Plantago media"
"40","Thy_pul","Thymus pulegioides"
"41","Urt_dio","Urtica dioica"
"42","Lol_mul","Lolium multiflorum"
"43","Cir_arv","Cirsium arvense"
"44","Ran_bul","Ranunculus bulbosus"
"45","Tri_dub","Trifolium dubium"
"46","Lot_cor","Lotus corniculatus"
"47","Car_car","Carum carvi"
"48","Leo_his","Leontodon hispidus"
"49","Vic_sep","Vicia sepium"
"50","Med_lup","Medicago lupulina"
"51","Pru_sp","Prunella_sp"
"52","Sym_off","Symphytum_officinale"
"53","Rhi_ale","Rhinanthus_alectorolophus"
"54","Con_arv","Convolvulus_arvensis"
"55","Agr_eup","Agrimonia_eupatoria"
"56","Hie_pil","Hieracium_pilosella"
"57","Bel_per","Bellis_perennis"
"58","Bro_ine","Bromus_inermis"
"59","Leo_aut","Leontodon_autumnalis"
"60","Pla_maj","Plantago_major"
"61","Pot_rep","Potentilla_reptans"
"62","Agr_cap","Agrostis_capillaris"
"63","Bri_med","Briza_media"
"64","Car_fla","Carex_flacca"
"65","Ver_arv","Veronica_arvensis"
"66","Pot_ans","Potentilla_anserina"
"67","Rum_obt","Rumex_obtusifolius"
"68","San_min","Sanguisorba_minor"
"69","Trag_prat","Tragopogon_pratensis"
"70","Cic_int","Cichorium_intybus"
