"","Intrinsic","LUI"
"Poa_tri",0.734918253869214,0.480469897805193
"Poa_pra",0.697592260018501,0.45591503260133
"Alo_pra",0.46451950352551,0.303159704956567
"Dac_glo",0.568823352744091,0.37189107877829
"Tri_rep",0.712362825575526,0.466627724996414
"Tar_off",0.593981511683375,0.38829551697392
"Lol_per",0.688358347495005,0.451062986610732
"Arr_ela",0.531395706435712,0.346651151601553
"Fes_rub",0.512918404359414,0.334918329924885
"Fes_pra",0.605386759306772,0.39507990925506
"Tri_fla",0.48509715665076,0.316774714022254
"Ely_rep",0.543489844900625,0.355133586701726
"Tri_pra",0.55579094664048,0.363373282221599
"Bro_ere",0.291338079200376,0.190411761084132
"Ran_rep",0.376068758378913,0.245446203203484
"Bro_hor",0.459966080260348,0.301919492931312
"Ran_acr",0.316473496423684,0.20649887610459
"Pla_lan",0.451545123797208,0.296391791994175
"Ach_mil",0.378675701614262,0.247312801782696
"Gal_mol",0.323199934646948,0.211040365837766
"Her_sph",0.301517029785653,0.197253498170503
"Ant_syl",0.32859999096331,0.214824883137687
"Hol_lan",0.311203832462091,0.203430168703835
"Hel_pub",0.291497861583445,0.190195853703182
"Ant_odo",0.271421867729674,0.177650593147978
"Bra_pin",0.171013023050931,0.111477567122085
"Car_hir",0.257753530237837,0.1683944354174
"Ver_cha",0.196305804610147,0.128211325328561
"Rum_ace",0.302355066824763,0.197826904215146
"Fes_ovi",0.261460234289487,0.170949465551756
"Phl_pra",0.276490876283382,0.180442559038074
"Pha_aru",0.343389674787918,0.224595832064935
"Des_ces",0.150850994979073,0.0982851817107777
"Agr_sto",0.35468132191417,0.232967468987985
"Cyn_cri",0.290959851663038,0.190370471704133
"Cir_ole",0.20674692720508,0.135206393891116
"Cer_hol",0.256361807420154,0.167908954075009
"Pla_med",0.208762628501782,0.136490518948848
"Cre_bie",0.33829081710755,0.221109779242755
"Urt_dio",0.222932844908376,0.145819323745845
"Thy_pul",0.187013859025343,0.12219598445926
"Lol_mul",0.358929198000678,0.235294346573023
"Cir_arv",0.261987332401224,0.171816889882078
"Lot_cor",0.246210048055658,0.161145615099588
"Ran_bul",0.251909060940422,0.164851103656282
"Tri_dub",0.271953961239567,0.177940758775849
"Med_lup",0.274578362024923,0.179327720753271
"Leo_his",0.240918106661966,0.156330158811624
"Car_car",0.198312812071961,0.129450038125325
"Vic_sep",0.20862832513597,0.136173067005546
"Pru_sp",0.175875107926431,0.114771566094946
